radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignalStrength,predicted_lst_c,risk_tier,greening_delta_c,scenario_lst_c,scenario_risk_tier,uhvi_area
GSM,502,12,2022,26673,0,101.5915,3.1588,2863,27,1,0,0,0,41.306,High,-0.003,41.303,High,"N.39 Kota Damansara"
GSM,502,12,2008,38162,0,101.7091,3.1446,1000,23,1,0,0,0,31.897,Low,0,31.897,Low,"P.120 Bukit Bintang"
GSM,502,12,2006,14132,0,101.7009,3.1593,1000,8,1,0,0,0,31.897,Low,0,31.897,Low,"P.120 Bukit Bintang"
GSM,502,12,2021,22231,0,101.6064,3.1963,1114,26,1,0,0,0,36.678,Medium,0,36.678,Medium,"N.37 Bukit Lanjan"
GSM,502,12,2023,14801,0,101.6165,3.0416,1544,4,1,0,0,0,36.482,Medium,-0.092,36.39,Medium,"N.30 Kinrara"
GSM,502,12,2021,53542,0,101.5818,3.1992,1999,26,1,0,0,0,41.306,High,-0.003,41.303,High,"N.39 Kota Damansara"
GSM,502,12,2023,25288,0,101.5875,3.0565,1284,23,1,0,0,0,38.578,High,-0.15,38.428,High,"N.31 Subang Jaya"
GSM,502,12,2023,20911,0,101.5811,3.06,1370,21,1,0,0,0,38.578,High,-0.15,38.428,High,"N.31 Subang Jaya"
GSM,502,12,2082,20001,0,101.6712,3.2014,1671,24,1,0,0,0,37.787,Medium,0,37.787,Medium,"P.115 Batu"
GSM,502,12,2023,15152,0,101.5438,3.0977,1271,22,1,0,0,0,38.478,High,-0.08,38.398,High,"N.40 Kota Anggerik"
GSM,502,12,2023,25221,0,101.552,3.0862,2169,26,1,0,0,0,38.478,High,-0.08,38.398,High,"N.40 Kota Anggerik"
GSM,502,12,2022,26671,0,101.5973,3.1575,7968,21,1,0,0,0,41.306,High,-0.003,41.303,High,"N.39 Kota Damansara"
GSM,502,12,2082,20133,0,101.6287,3.2197,1607,23,1,0,0,0,36.678,Medium,0,36.678,Medium,"N.37 Bukit Lanjan"
GSM,502,12,2021,21241,0,101.6418,3.2134,9706,27,1,0,0,0,44.775,High,0,44.775,High,"P.114 Kepong"
GSM,502,12,2022,18671,0,101.5999,3.1153,1682,24,1,0,0,0,42.851,High,0,42.851,High,"N.36 Bandar Utama"
GSM,502,12,2082,24571,0,101.6773,3.2017,2232,27,1,0,0,0,37.787,Medium,0,37.787,Medium,"P.115 Batu"
GSM,502,12,2023,20422,0,101.6153,3.0721,944,27,1,0,0,0,38.578,High,-0.15,38.428,High,"N.31 Subang Jaya"
GSM,502,12,2009,15232,0,101.7144,3.208,1385,25,1,0,0,0,34.052,Medium,0,34.052,Medium,"P.116 Wangsa Maju"
GSM,502,12,2082,57732,0,101.7021,3.2176,1940,21,1,0,0,0,34.052,Medium,0,34.052,Medium,"P.116 Wangsa Maju"
GSM,502,12,2022,9571,0,101.5959,3.129,1422,21,1,0,0,0,42.851,High,0,42.851,High,"N.36 Bandar Utama"
GSM,502,12,2009,53473,0,101.7525,3.1806,688,27,1,0,0,0,31.868,Low,0,31.868,Low,"P.118 Setiawangsa"
GSM,502,12,2009,53451,0,101.7584,3.1853,1178,27,1,0,0,0,27.597,Low,0,27.597,Low,"N.18 Hulu Kelang"
GSM,502,12,2188,14912,0,101.6287,3.0771,5123,25,1,0,0,0,33.702,Medium,0,33.702,Medium,"N.33 Taman Medan"
GSM,502,12,2189,34353,0,101.6453,3.0414,1622,27,1,0,0,0,36.482,Medium,-0.092,36.39,Medium,"N.30 Kinrara"
GSM,502,12,2010,19141,0,101.745,3.1448,2020,26,1,0,0,0,32.617,Medium,0,32.617,Medium,"N.21 Pandan Indah"
GSM,502,12,2017,3361,0,101.7735,3.1459,4912,26,1,0,0,0,27.374,Low,0,27.374,Low,"N.20 Lembah Jaya"
GSM,502,12,2023,22463,0,101.5288,3.1316,3337,26,1,0,0,0,41.306,High,-0.003,41.303,High,"N.39 Kota Damansara"
GSM,502,12,2006,37862,0,101.68,3.1285,1002,25,1,0,0,0,31.897,Low,0,31.897,Low,"P.120 Bukit Bintang"
GSM,502,12,2125,2391,0,101.6835,3.2531,1344,25,1,0,0,0,32.33,Medium,0,32.33,Medium,"N.16 Sungai Tua"
GSM,502,12,2010,25142,0,101.7465,3.1364,1000,15,1,0,0,0,32.617,Medium,0,32.617,Medium,"N.21 Pandan Indah"
GSM,502,12,2010,4943,0,101.7486,3.1291,3445,26,1,0,0,0,32.617,Medium,0,32.617,Medium,"N.21 Pandan Indah"
GSM,502,12,2007,23061,0,101.6926,3.1808,1399,23,1,0,0,0,37.787,Medium,0,37.787,Medium,"P.115 Batu"
GSM,502,12,2021,26611,0,101.6174,3.1833,1359,27,1,0,0,0,36.678,Medium,0,36.678,Medium,"N.37 Bukit Lanjan"
GSM,502,12,2006,37861,0,101.6807,3.13,668,26,1,0,0,0,31.729,Low,0,31.729,Low,"P.121 Lembah Pantai"
GSM,502,12,2188,20463,0,101.6059,3.0974,2356,26,1,0,0,0,41.643,High,-0.194,41.449,High,"N.32 Seri Setia"
GSM,502,12,2188,20413,0,101.6134,3.0986,2669,26,1,0,0,0,40.001,High,0,40.001,High,"N.35 Kampung Tunku"
