rank,code_dun,dun,state,parlimen,district,population,lst_mean,income_mean,elderly_pct,uhvi,green_mean,green_min,green_max,ind_mean,ind_min,ind_max
"1","P.114","P.114 Kepong","W.P. Kuala Lumpur","P.114 Kepong","W.P. Kuala Lumpur","110800","44.774783450977225","14723","7.121161","0.8039637700925059","0","0","0","0","0","0"
"2","N.36","N.36 Bandar Utama","Selangor","P.106 Damansara","Petaling","131900","42.85136413574219","15492","8.993503754323799","0.803454606216688","0","0","0","0","0","0"
"3","N.45","N.45 Bandar Baru Klang","Selangor","P.110 Klang","Klang","118300","39.11991882324219","9809","8.469991546914624","0.7722578351748614","0","0","0","0","0","0"
"4","N.35","N.35 Kampung Tunku","Selangor","P.106 Damansara","Petaling","57800","40.00068664550781","12864","8.993503754323799","0.7654392394921647","0","0","0","0","0","0"
"5","N.39","N.39 Kota Damansara","Selangor","P.107 Sungai Buloh","Petaling","187100","41.30572509765625","15455","8.993503754323799","0.7596599301848193","-0.0030305092222988605","-0.4481773376464844","0.003204345703125","-0.003430610988289118","-0.5117645263671875","0.111968994140625"
"6","N.48","N.48 Sentosa","Selangor","P.111 Kota Raja","Klang","195600","38.894161224365234","10691","8.469991546914624","0.7510384597104639","0","0","0","0","0","0"
"7","N.41","N.41 Batu Tiga","Selangor","P.108 Shah Alam","Petaling","153800","37.94038391113281","11917","8.993503754323799","0.7220562204112047","-0.004642304033041","-0.4987678527832031","0.001796722412109375","0","0","0"
"8","N.50","N.50 Kota Kemuning","Selangor","P.111 Kota Raja","Petaling","194600","37.23394775390625","11776","8.993503754323799","0.7041125234747623","0","0","0","0","0","0"
"9","N.49","N.49 Sungai Kandis","Selangor","P.111 Kota Raja","Klang","160400","37.77964782714844","11959","8.469991546914624","0.6978338788754858","0","0","0","0","0","0"
"10","N.38","N.38 Paya Jaras","Selangor","P.107 Sungai Buloh","Petaling","178200","39.45614242553711","16524","8.993503754323799","0.6886577006852641","-0.00033445426379330456","-0.5062637329101562","0.01666259765625","-0.000030391853215405717","-0.013332366943359375","0.017688751220703125"
"11","N.28","N.28 Seri Kembangan","Selangor","P.103 Puchong","Petaling","137100","37.6489372253418","13479","8.993503754323799","0.6875909998975563","-0.009994685649871826","-2.397104263305664","0.0063343048095703125","0","0","0"
"12","N.32","N.32 Seri Setia","Selangor","P.105 Petaling Jaya","Petaling","205300","41.64250564575195","20604","8.993503754323799","0.6833311704496043","-0.19407156109809875","-6.576465606689453","0.29851531982421875","-0.00036254487349651754","-0.10132217407226562","0"
"13","N.47","N.47 Pandamaran","Selangor","P.110 Klang","Klang","89400","36.99886703491211","11716","8.469991546914624","0.6794576965205794","0","0","0","0","0","0"
"14","N.31","N.31 Subang Jaya","Selangor","P.104 Subang","Petaling","219000","38.57756423950195","15934","8.993503754323799","0.6732674731070558","-0.14995592832565308","-7.770877838134766","0.6994438171386719","0","0","0"
"15","N.29","N.29 Seri Serdang","Selangor","P.103 Puchong","Petaling","257800","35.44002151489258","10553","8.993503754323799","0.6729937623909044","-0.10342427343130112","-7.49952507019043","0.4119281768798828","0","0","0"
"16","N.24","N.24 Semenyih","Selangor","P.101 Hulu Langat","Ulu Langat","246800","38.44194793701172","14914","8.598180139786365","0.6721343912249955","-0.023441703990101814","-0.06872367858886719","0","0","0","0"
"17","N.40","N.40 Kota Anggerik","Selangor","P.108 Shah Alam","Petaling","308100","38.47806167602539","15834","8.993503754323799","0.6720786878940463","-0.08021403104066849","-7.373355865478516","0.3711204528808594","0.6502811908721924","-7.3011932373046875","11.756908416748047"
"18","N.37","N.37 Bukit Lanjan","Selangor","P.106 Damansara","Petaling","303900","36.678340911865234","12803","8.993503754323799","0.6709931985951365","0","0","0","0","0","0"
"19","P.115","P.115 Batu","W.P. Kuala Lumpur","P.115 Batu","W.P. Kuala Lumpur","228600","37.78707927848332","11445","7.121161","0.6579314675238072","0","0","0","0","0","0"
"20","N.14","N.14 Rawang","Selangor","P.097 Selayang","Gombak","154700","36.14250183105469","11092","8.047493403693931","0.6500187428544021","0","0","0","0","0","0"
"21","N.30","N.30 Kinrara","Selangor","P.104 Subang","Petaling","284400","36.4819221496582","14505","8.993503754323799","0.6369200515265735","-0.09239143133163452","-6.6522064208984375","0.326446533203125","0","0","0"
"22","N.33","N.33 Taman Medan","Selangor","P.105 Petaling Jaya","Petaling","94600","33.70209503173828","9994","8.993503754323799","0.6323930425179172","0","0","0","0","0","0"
"23","N.46","N.46 Pelabuhan Klang","Selangor","P.110 Klang","Klang","105800","34.16142272949219","11065","8.469991546914624","0.6087999249550152","0","0","0","0","0","0"
"24","N.13","N.13 Kuang","Selangor","P.097 Selayang","Gombak","107900","35.337310791015625","13600","8.047493403693931","0.5849900591362921","0","0","0","0","0","0"
"25","N.42","N.42 Meru","Selangor","P.109 Kapar","Klang","121100","32.760108947753906","10096","8.469991546914624","0.5847199018213416","-0.0014255836140364408","-0.749664306640625","0.028797149658203125","-0.020375769585371017","-3.5990524291992188","7.740283966064453"
"26","N.10","N.10 Bukit Melawati","Selangor","P.096 Kuala Selangor","Kuala Selangor","48200","32.32888412475586","7034","7.228116710875332","0.5786351450031821","-0.11796048283576965","-4.219291687011719","0.2073974609375","0","0","0"
"27","N.34","N.34 Bukit Gasing","Selangor","P.105 Petaling Jaya","Petaling","81500","35.401790618896484","16297","8.993503754323799","0.5759508171141443","0","0","0","0","0","0"
"28","P.122","P.122 Seputeh","W.P. Kuala Lumpur","P.122 Seputeh","W.P. Kuala Lumpur","336400","35.038150838570616","12001","7.121161","0.5696561076916951","-8.16001235599488e-7","-0.003032684326171875","0.000003814697265625","0","0","0"
"29","N.44","N.44 Selat Klang","Selangor","P.109 Kapar","Klang","87300","32.00874710083008","9802","8.469991546914624","0.5680409234689988","0","0","0","0","0","0"
"30","N.27","N.27 Balakong","Selangor","P.102 Bangi","Ulu Langat","182200","33.5648307800293","13346","8.598180139786365","0.5581852813466388","0","0","0","0","0","0"
"31","N.21","N.21 Pandan Indah","Selangor","P.100 Pandan","Ulu Langat","107500","32.61725616455078","12110","8.598180139786365","0.5516029020749424","0","0","0","0","0","0"
"32","N.51","N.51 Sijangkang","Selangor","P.112 Kuala Langat","Kuala Langat","147700","34.19434356689453","12509","7.446808510638298","0.5486826262527426","0","0","0","0","0","0"
"33","N.11","N.11 Ijok","Selangor","P.096 Kuala Selangor","Kuala Selangor","40500","32.699832916259766","9870","7.228116710875332","0.5419231794255925","-0.00004682095459429547","-0.08982086181640625","0.07492256164550781","0","0","0"
"34","P.116","P.116 Wangsa Maju","W.P. Kuala Lumpur","P.116 Wangsa Maju","W.P. Kuala Lumpur","224900","34.05154257377808","12276","7.121161","0.5367132688831477","0","0","0","0","0","0"
"35","N.43","N.43 Sementa","Selangor","P.109 Kapar","Klang","122200","31.454265594482422","11132","8.469991546914624","0.5298927997151691","-0.00015994140994735062","-0.09098052978515625","0.23370742797851562","0","0","0"
"36","N.12","N.12 Jeram","Selangor","P.096 Kuala Selangor","Kuala Selangor","91600","33.187984466552734","11563","7.228116710875332","0.5276709438489299","-0.018680265173316002","-5.164436340332031","1.045297622680664","0","0","0"
"37","N.26","N.26 Sungai Ramal","Selangor","P.102 Bangi","Ulu Langat","292900","34.5942497253418","17280","8.598180139786365","0.5220535805674755","-0.061522480100393295","-5.914642333984375","0.8023853302001953","0","0","0"
"38","N.15","N.15 Taman Templer","Selangor","P.097 Selayang","Gombak","119800","30.5504207611084","9287","8.047493403693931","0.5194844255556558","0","0","0","0","0","0"
"39","N.25","N.25 Kajang","Selangor","P.102 Bangi","Ulu Langat","248700","31.898677825927734","14062","8.598180139786365","0.49835006338685406","0","0","0","0","0","0"
"40","P.117","P.117 Segambut","W.P. Kuala Lumpur","P.117 Segambut","W.P. Kuala Lumpur","264600","38.33582973596426","22001","7.121161","0.49737813325116187","0","0","0","0","0","0"
"41","N.16","N.16 Sungai Tua","Selangor","P.098 Gombak","Gombak","75900","32.32998275756836","13941","8.047493403693931","0.4928810275665965","0","0","0","0","0","0"
"42","P.119","P.119 Titiwangsa","W.P. Kuala Lumpur","P.119 Titiwangsa","W.P. Kuala Lumpur","127400","32.53734586858282","12572","7.121161","0.48825982623434505","0","0","0","0","0","0"
"43","P.123","P.123 Cheras","W.P. Kuala Lumpur","P.123 Cheras","W.P. Kuala Lumpur","141700","32.238733853479786","12119","7.121161","0.4872460952784252","0","0","0","0","0","0"
"44","N.55","N.55 Dengkil","Selangor","P.113 Sepang","Sepang","301000","34.24983215332031","16808","7.562785388127854","0.4826565839602214","-0.11580823361873627","-7.528652191162109","0.8143672943115234","0","0","0"
"45","N.22","N.22 Teratai","Selangor","P.100 Pandan","Ulu Langat","131800","29.833642959594727","11739","8.598180139786365","0.47781496818512564","0","0","0","0","0","0"
"46","P.121","P.121 Lembah Pantai","W.P. Kuala Lumpur","P.121 Lembah Pantai","W.P. Kuala Lumpur","154500","31.728769345251475","12817","7.121161","0.46093368964428294","0","0","0","0","0","0"
"47","P.124","P.124 Bandar Tun Razak","W.P. Kuala Lumpur","P.124 Bandar Tun Razak","W.P. Kuala Lumpur","199600","30.310707843956067","10565","7.121161","0.45780291456549393","0","0","0","0","0","0"
"48","P.120","P.120 Bukit Bintang","W.P. Kuala Lumpur","P.120 Bukit Bintang","W.P. Kuala Lumpur","125700","31.897164339637424","15318","7.121161","0.4239971463538904","0","0","0","0","0","0"
"49","N.23","N.23 Dusun Tua","Selangor","P.101 Hulu Langat","Ulu Langat","119100","28.51352310180664","12717","8.598180139786365","0.42354644015495135","0","0","0","0","0","0"
"50","N.52","N.52 Banting","Selangor","P.112 Kuala Langat","Kuala Langat","57800","28.44929313659668","11876","7.446808510638298","0.39417645523364825","0","0","0","0","0","0"
"51","N.17","N.17 Gombak Setia","Selangor","P.098 Gombak","Gombak","185800","28.734561920166016","13735","8.047493403693931","0.39301038688309897","0","0","0","0","0","0"
"52","N.20","N.20 Lembah Jaya","Selangor","P.099 Ampang","Gombak","85300","27.373916625976562","12160","8.047493403693931","0.38022120922529357","0","0","0","0","0","0"
"53","P.118","P.118 Setiawangsa","W.P. Kuala Lumpur","P.118 Setiawangsa","W.P. Kuala Lumpur","153400","31.867652263528534","18478","7.121161","0.37036635163337006","0","0","0","0","0","0"
"54","N.18","N.18 Hulu Kelang","Selangor","P.098 Gombak","Gombak","105900","27.596839904785156","13149","8.047493403693931","0.3701070548411781","0","0","0","0","0","0"
"55","P.125","P.125 Putrajaya","W.P. Putrajaya","P.125 Putrajaya","W.P. Putrajaya","120300","33.50395415726746","13846","2.069536","0.3123580714475144","-0.03382058708812213","-2.522808074951172","0.8143672943115234","0","0","0"
"56","N.19","N.19 Bukit Antarabangsa","Selangor","P.099 Ampang","Gombak","130000","29.39435386657715","19722","8.047493403693931","0.31196564041992536","0","0","0","0","0","0"
